Team,GF,GA,wGF,wGA,wLeague,HomeAdv
Sweden,1.751,2.499,1.347,1.922,75,0
Switzerland,2.334,1.499,1.795,1.153,78,0
Tunisia,0.668,3.999,0.514,3.076,71,0
Türkiye,1.001,1.665,0.77,1.281,76,0
United States,2.201,1.599,1.693,1.23,78,0.05
Uruguay,1.001,1.332,0.77,1.025,82,0
Uzbekistan,0.668,3.665,0.514,2.819,67,0
Coventry City,0.905,1.889,0.665,1.387,90.6,0.1
Hull City,1.26,1.357,0.926,0.996,90.6,0.1
Ipswich Town,1.26,1.535,0.926,1.126,90.6,0.1
Monza,1.0,4.0,0.734,2.937,84.8,0.1
Venezia,0.0,2.0,0.0,1.468,84.8,0.1
Real Racing Club de Santander,1.0,1.5,0.734,1.101,84.8,0.1
RC Deportivo La Coruña,1.0,1.0,0.734,0.734,84.8,0.1
Málaga CF,0.5,1.5,0.367,1.101,84.8,0.1
Frosinone Calcio,0.0,1.0,0.0,0.734,84.8,0.1
Le Mans FC,2.0,2.0,1.468,1.468,84.3,0.1
ES Troyes AC,0.0,0.0,0.0,0.0,84.3,0.1
